Departamento;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Calamuchita;5354;5429;5439;5375;5477;5474;5501;5514;5614;5722;5846;6087;6202;6330;6333;6496;6683;6654;6698;6736;6766;6781;6818;6972
Capital;149286;150343;150953;150664;150179;147503;146300;145570;139713;146127;145379;145704;145637;144969;144054;143355;143108;142607;142556;142132;141663;142105;141785;141061
Colon;21410;22365;23573;23739;24346;24303;24716;24941;24330;25758;25922;26246;26667;26898;26967;26932;27402;27697;27686;27878;28213;28324;28467;28624
Cruz del Eje;7361;7448;7546;7656;7829;7837;7771;7720;6732;7616;7456;7341;7208;7157;6982;6894;6790;6596;6464;6470;6420;6383;6483;6684
General Roca;4511;4441;4327;4249;4205;4077;4013;4017;4015;3979;3963;3955;3910;3839;3808;3726;3645;3503;3434;3303;3272;3243;3272;3229
General San Martín;13588;13790;13770;13639;13697;13336;13053;13101;12507;13325;13350;13443;13750;13863;14060;14106;14204;14216;14403;14260;14407;14428;14528;14796
Ischilin;4100;4182;4185;4215;4247;4212;4200;4085;3859;4156;4206;4189;4148;4152;4156;4067;4035;3997;3968;3881;3797;3703;3665;3657
Juarez Celman;6578;6701;6767;6648;6612;6448;6507;6564;6548;6654;6682;6779;6797;6710;6618;6485;6446;6319;6292;6369;6303;6338;6407;6455
Marcos Juarez;11114;11137;11069;11048;11065;10703;10730;10758;10439;10634;10547;10325;10207;9969;9873;9687;9557;9318;9208;9175;9071;9324;9160;9182
Minas;658;656;663;693;712;698;690;660;631;624;606;585;559;555;534;507;482;470;442;430;410;410;420;409
Pocho;650;670;666;627;647;636;646;616;626;637;604;594;567;567;528;498;480;447;424;385;383;351;360;374
Presidente Roque Saenz Pena;4390;4332;4342;4259;4253;4090;3926;3986;4036;4152;4216;4148;4191;4207;4230;4118;4023;3765;3767;3607;3506;3474;3507;3523
Punilla;17335;17779;17894;17663;17858;17800;17799;17856;16827;18329;18480;18519;18768;18926;18904;19069;19071;19276;19407;19701;19635;19885;20125;20425
Rio Cuarto;26617;26526;26508;25617;25830;25219;24891;24775;24659;25374;25224;25327;25333;25322;25378;25202;25334;25496;25615;25568;25613;25989;25794;26210
Rio Primero;5612;5782;5819;5838;5995;6017;6022;6074;6096;6074;6016;6020;5992;5880;5862;5808;5752;5558;5507;5450;5368;5451;5449;5490
Rio Seco;1841;1891;1964;2000;2097;2116;2121;2137;2069;2054;1927;1978;1921;1889;1849;1820;1792;1723;1674;1635;1678;1638;1605;1602
Rio Segundo;11337;11502;11618;11585;11705;11425;11414;11498;11155;11580;11510;11411;11224;11303;11217;11122;11127;10731;10643;10636;10649;10667;10694;10765
San Alberto;4437;4443;4556;4553;4683;4782;4764;4699;4743;4769;4669;4716;4604;4578;4433;4216;4043;3933;3928;3784;3805;3900;3935;4010
San Javier;6796;6874;6873;6887;7006;6917;6882;6914;6967;7040;7095;6984;7094;7012;6960;6833;6707;6576;6481;6434;6441;6561;6652;6744
San Justo;22044;22133;22225;21993;21993;21646;21628;21465;21109;22067;22155;22316;22460;22577;22659;22674;22694;22385;22196;21879;21593;21505;21439;21582
Santa María;10682;10893;10847;11002;10883;10709;10663;10824;10942;11156;11296;11377;11415;11542;11546;11721;11639;11673;11661;11768;11946;12322;12540;12771
Sobremonte;614;622;644;639;641;653;653;636;629;630;611;606;603;600;549;583;547;483;484;446;429;442;430;406
Tercero Arriba;12814;12686;12554;12177;12185;11742;11675;11468;11582;11848;11751;11818;11637;11668;11529;11183;11310;11095;10954;10827;10783;10950;10995;11009
Totoral;2188;2193;2173;2171;2253;2229;2213;2199;2179;2162;2104;2102;2159;2151;2120;2085;2078;2009;2008;1987;2035;2019;1984;2012
Tulumba;1667;1748;1764;1707;1698;1683;1693;1641;1619;1557;1568;1552;1521;1463;1385;1349;1338;1304;1284;1277;1258;1242;1230;1223
Union;12373;12410;12377;12243;12311;11936;11996;11924;11694;11898;11942;11752;11850;11762;11719;11545;11546;11170;10943;10643;10540;10406;10311;10358
Total Provincia;365357;368976;371116;368857;370407;364191;362467;361642;351320;365922;365125;365874;366424;365889;364253;362081;361833;359001;358127;356661;355984;357841;358055;359573
