Departamento;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Calamuchita;3371;3445;3461;3628;3816;4011;4188;4240;4225;4218;4264;4331;4344;4692;4886;5090;5200;5590;5829;6064;6262;6467;6704;7150
Capital;114522;112021;110978;112669;114849;118194;119311;119174;119824;118766;118226;118353;120846;120628;122775;123193;124221;126211;127244;128144;128935;129446;129601;132807
Colon;13027;13705;14052;14614;15409;16168;16533;17209;17762;18136;18333;18905;20053;20242;21305;21785;22389;23367;23824;24326;24723;25265;25731;26844
Cruz del Eje;4903;4897;4913;5022;5188;5204;5322;5542;5731;5732;5869;6034;6230;6303;6354;6259;6153;6247;6248;6353;6322;6259;6293;6443
General Roca;2882;2881;2846;2885;2953;3044;3050;3041;3016;2940;2830;2799;2823;2941;3015;3024;3030;3189;3224;3215;3202;3187;3203;3209
General San Martin;10397;10267;10236;10409;10671;11111;11254;11255;10815;11055;11060;10962;11244;11398;11417;11603;11773;12258;12290;12501;12781;12984;13373;13655
Ischilin;2756;2668;2662;2655;2645;2730;2973;3026;3028;2968;2925;2865;3004;2901;3064;3067;3111;3321;3387;3510;3582;3545;3748;3807
Juarez Celman;4760;4830;4770;5059;5190;5321;5320;5401;5373;5372;5474;5593;5629;5673;5748;5905;5895;6064;6102;6181;6220;6372;6484;6605
Marcos Juarez;8575;8398;8195;8366;8618;8777;8603;8532;8344;8371;8327;8224;8419;8438;8445;8460;8545;8554;8550;8434;8454;8546;8648;8819
Minas;290;268;287;293;325;331;366;398;410;441;486;514;520;513;535;548;538;524;523;527;496;491;460;451
Pocho;339;285;299;361;396;345;380;380;387;387;390;369;367;359;388;386;348;352;391;398;401;403;403;404
Presidente Roque Saenz Pena;3204;3152;3087;3105;3191;3274;3242;3252;3147;3074;3160;3043;3066;3077;3201;3230;3313;3389;3527;3518;3462;3549;3494;3551
Punilla;12168;11994;12206;12799;13285;13996;14253;14392;14513;14507;14645;14916;15568;15826;16244;16629;16854;17390;17781;18178;18828;19111;19358;20098
Rio Cuarto;20017;20293;20345;20676;21275;21490;21594;21546;20877;21175;20872;20768;20800;21025;21277;21785;21944;22738;22790;22702;23143;23253;23813;24459
Rio Primero;2966;3087;3227;3348;3460;3676;3877;3918;4094;4188;4286;4335;4507;4581;4740;4951;5045;5372;5442;5504;5559;5616;5677;5709
Rio Seco;767;775;878;901;927;941;966;1006;1078;1172;1236;1272;1406;1481;1486;1508;1470;1536;1548;1546;1575;1597;1614;1631
Rio Segundo;7847;7807;8116;8346;8696;8950;9118;8986;8127;9084;9076;9434;9638;9687;9912;9953;10064;10349;10324;10490;10559;10455;10582;10791
San Alberto;1917;1965;2133;2343;2466;2753;2767;2854;2947;3083;3143;3186;3244;3175;3310;3347;3424;3609;3736;3786;3919;3866;3932;3871
San Javier;5058;5010;4977;5128;5394;5686;5697;5895;5635;5710;5616;5549;5753;5867;6013;6112;6136;6389;6448;6513;6396;6386;6284;6340
San Justo;16262;15857;15825;16405;16829;17085;17062;17116;17266;16996;16627;16816;17033;17234;17630;17980;18325;19005;19206;19501;19829;20362;20939;21134
Santa Maria;7202;7337;7472;7594;7944;8156;8374;8327;8275;8155;7998;8409;8777;9127;9541;9863;10372;10821;10974;11245;11409;11636;11828;12288
Sobremonte;410;366;372;421;432;414;381;431;451;406;392;374;363;352;383;368;403;470;477;479;465;481;499;492
Tercero Arriba;10261;10126;10141;10169;10244;10323;10047;9894;9965;9587;9417;9284;9614;9585;9745;9759;9834;10217;10215;10305;10199;10197;10327;10494
Totoral;1131;1130;1204;1231;1235;1297;1300;1340;1432;1477;1429;1599;1626;1713;1664;1695;1705;1795;1787;1837;1862;1977;1997;2054
Tulumba;566;605;793;861;925;937;987;1041;1015;1031;1088;1143;1154;1154;1105;1082;1066;1154;1174;1160;1144;1094;1120;1173
Union;8981;8904;8724;8853;9004;9262;9274;9194;9086;8857;8928;8750;8771;8975;9004;9178;9217;9643;9763;9900;10002;10168;10197;10435
Total Provincia;264579;262073;262199;268141;275367;283476;286239;287390;286823;286888;286097;287827;294799;296947;303187;306760;310375;319554;322804;326317;329729;332713;336309;344714
