Departamento;Varones 2006;Mujeres 2006;Varones 2007;Mujeres 2007;Varones 2008;Mujeres 2008;Varones 2009;Mujeres 2009;Varones 2010;Mujeres 2010;Varones 2011;Mujeres 2011;Varones 2012;Mujeres 2012;Varones 2013;Mujeres 2013;Varones 2014;Mujeres 2014;Varones 2015;Mujeres 2015;Varones 2016;Mujeres 2016;Varones 2017;Mujeres 2017;Varones 2018;Mujeres 2018;Varones 2019;Mujeres 2019;Varones 2020;Mujeres 2020;Varones 2021;Mujeres 2021
Calamuchita;1996;2229;1991;2227;1981;2283;2014;2317;2030;2314;2212;2480;2330;2556;2438;2652;2505;2695;2698;2892;2875;2954;2982;3082;3151;3111;3304;3163;3465;3239;3680;3470
Capital;58350;61474;57550;61216;56904;61322;57318;61035;58831;62015;58565;62063;59649;63126;60605;62588;61103;63118;62582;63629;63672;63572;63851;64293;64678;64257;64967;64479;64952;64649;66733;66074
Colon;8511;9251;8644;9492;8635;9698;9018;9887;9603;10450;9644;10598;10136;11169;10392;11393;10860;11529;11330;12037;11699;12125;11939;12387;12269;12454;12625;12640;12947;12784;13395;13449
Cruz del Eje;2816;2915;2816;2916;2904;2965;3004;3030;3082;3148;3135;3168;3104;3250;3084;3175;2961;3192;2994;3253;2974;3274;3088;3265;3105;3217;3021;3238;3111;3182;3215;3228
General Roca;1416;1600;1395;1545;1339;1491;1314;1485;1348;1475;1425;1516;1444;1571;1459;1565;1430;1600;1538;1651;1533;1691;1519;1696;1511;1691;1494;1693;1527;1676;1537;1672
General San Martin;5197;5618;5262;5793;5318;5742;5324;5638;5441;5803;5251;6147;5562;5855;5709;5894;5785;5988;6079;6179;6136;6154;6304;6197;6472;6309;6660;6324;6833;6540;6940;6715
Ischilin;1470;1558;1397;1571;1342;1583;1318;1547;1445;1559;1395;1506;1459;1605;1482;1585;1503;1608;1707;1614;1717;1670;1764;1746;1790;1792;1829;1716;1898;1850;1949;1858
Juarez Celman;2639;2734;2657;2715;2692;2782;2807;2786;2816;2813;2819;2854;2859;2889;2939;2966;2953;2942;3038;3026;3102;3000;3088;3093;3165;3055;3219;3153;3276;3208;3360;3245
Marcos Juarez;4017;4327;4045;4326;3973;4354;4026;4198;4198;4221;4185;4253;4116;4329;4190;4270;4322;4223;4358;4196;4353;4197;4324;4110;4371;4083;4396;4150;4454;4194;4489;4330
Minas;203;207;194;247;229;257;241;273;250;270;266;247;252;283;265;283;257;281;253;271;254;269;256;271;248;248;247;244;233;227;235;216
Pocho;195;192;188;199;195;195;189;180;184;183;187;172;191;197;183;203;153;195;174;178;186;205;197;201;203;198;210;193;222;181;209;195
Presidente Roque Saenz Pena;1555;1592;1498;1576;1529;1631;1487;1556;1475;1591;1506;1571;1590;1611;1586;1644;1656;1657;1731;1658;1813;1714;1807;1711;1741;1721;1752;1797;1729;1765;1773;1778
Punilla;6838;7675;6866;7641;6882;7763;7082;7834;7420;8148;7582;8244;7819;8425;7887;8742;8111;8743;8564;8826;8948;8833;9115;9063;9426;9402;9585;9526;9689;9669;10081;10017
Rio Cuarto;9950;10927;10042;11133;9896;10976;9943;10825;9933;10867;10164;10861;10283;10994;10609;11176;10780;11164;11154;11584;11239;11551;11189;11513;11484;11659;11523;11730;11849;11964;12231;12228
Rio Primero;1866;2228;1903;2285;1947;2339;1978;2357;2000;2507;2017;2564;2101;2639;2205;2746;2325;2720;2552;2820;2593;2849;2654;2850;2683;2876;2773;2843;2837;2840;2832;2877
Rio Seco;509;569;557;615;581;655;621;651;673;733;702;779;685;801;685;823;688;782;728;808;740;808;755;791;750;825;764;833;777;837;817;814
Rio Segundo;4047;4080;4406;4678;4394;4682;4609;4825;4713;4925;4733;4954;4807;5105;4870;5083;4936;5128;5131;5218;5116;5208;5287;5203;5333;5226;5277;5178;5441;5141;5515;5276
San Alberto;1430;1517;1503;1580;1521;1622;1558;1628;1593;1651;1549;1626;1613;1697;1631;1716;1653;1771;1808;1801;1880;1856;1921;1865;1965;1954;1993;1873;2035;1897;1990;1881
San Javier;2598;3037;2592;3118;2560;3056;2497;3052;2605;3148;2633;3234;2697;3316;2768;3344;2761;3375;3025;3364;3068;3380;3137;3376;3091;3305;3164;3222;3070;3214;3076;3264
San Justo;8274;8992;8118;8878;7963;8664;8125;8691;8303;8730;8364;8870;8488;9142;8717;9263;8762;9563;9038;9967;9371;9835;9453;10048;9691;10138;10022;10340;10421;10518;10453;10681
Santa Maria;3934;4341;3905;4250;3801;4197;4066;4343;4226;4551;4391;4736;4547;4994;4718;5145;5118;5254;5223;5598;5278;5696;5482;5763;5707;5702;5820;5816;5879;5949;6100;6188
Sobremonte;253;198;204;202;194;198;199;175;196;167;187;165;203;180;207;161;220;183;252;218;245;232;222;257;212;253;216;265;217;282;212;280
Tercero Arriba;4670;5295;4476;5111;4371;5046;4343;4941;4547;5067;4561;5024;4592;5153;4644;5115;4668;5166;4914;5303;4952;5263;5029;5276;4954;5245;5018;5179;5115;5212;5140;5354
Totoral;714;718;738;739;682;747;822;777;803;823;857;856;831;833;859;836;861;844;907;888;885;902;926;911;921;941;990;987;1000;997;1006;1048
Tulumba;483;532;508;523;524;564;555;588;612;542;594;560;550;555;541;541;539;527;556;598;565;609;569;591;586;558;551;543;580;540;594;579
Union;4318;4768;4173;4684;4210;4718;4123;4627;4176;4595;4286;4689;4237;4767;4315;4863;4404;4813;4582;5061;4691;5072;4734;5166;4803;5199;4895;5273;4901;5296;5045;5390
Total Provincia;138249;148574;137628;149260;136567;149530;138581;149246;142503;152296;143210;153737;146145;157042;148988;157772;151314;159061;156916;162638;159885;162919;161592;164725;164310;165419;166315;166398;168458;167851;172607;172107
